episode,total_reward
1,62.3781745588
2,62.3225361417
3,62.3186276843
4,70.7807733413
5,63.5438003304
6,68.0799021598
7,54.2585176682
8,132.766041075
9,77.9957144827
10,62.3532421239
11,74.3382994233
12,75.227457398
13,75.1594225523
14,75.1304759471
15,75.1233016641
16,75.1225433882
17,75.1246760879
18,75.1227002477
19,75.1205832048
20,75.12272653
21,75.1141756618
22,75.1285498206
23,75.1175616161
24,75.1216358531
25,75.1188550857
26,75.1256594607
27,75.1406386595
28,75.1401793174
29,75.1656345375
30,75.1997137859
31,75.2264974218
32,75.2941728102
33,75.35654699
34,75.2176728066
35,75.1810087051
36,75.1288504662
37,75.1296709761
38,75.1303058148
39,75.184738674
40,75.2067808683
41,75.2095349646
42,75.219527831
43,75.2167579935
44,75.0940535923
45,72.3642935116
46,72.3458118065
47,75.1544595679
48,75.1152105979
49,75.1170954024
50,75.1188085556
51,75.1116099035
52,75.1101724014
53,75.1133673762
54,75.1024972919
55,220.142407685
56,219.826780621
57,211.475732511
58,213.996282053
59,113.842798897
60,75.1257475592
61,75.1259219496
62,75.106802224
63,75.1107294409
64,77.8535817538
65,75.1169292729
66,75.1073524731
67,75.1249395978
68,75.1155714862
69,75.0349202807
70,74.9572388919
71,183.545435059
72,75.1191558479
73,75.1192855546
74,75.1170003956
75,75.1089465536
76,75.108085128
77,75.1067849708
78,75.113935933
79,75.1149277964
80,75.1072137218
81,75.1084276786
82,75.1151422996
83,75.1278996101
84,75.1125052097
85,75.114135236
86,75.1127428762
87,75.1090631475
88,75.1113001383
89,75.118711377
90,75.1184970897
91,75.1146565165
92,75.1060628147
93,75.1148798385
94,75.109156409
95,75.1068808918
96,75.1212182363
97,75.1211927548
98,75.1178573362
99,75.1204968989
100,75.1155821028
101,75.1122379131
102,75.1095345309
103,75.122356533
104,75.1143124678
105,75.1180519873
106,75.1217303878
107,75.1136979555
108,75.115181995
109,75.1166257312
110,75.1067415076
111,75.1177907204
112,75.1158009867
113,75.1116592941
114,75.1124248259
115,75.1226413764
116,75.1135200065
117,75.1109365588
118,75.122944018
119,75.1271065613
120,75.1154604634
121,75.1045485874
122,75.1212764358
123,75.1180536897
124,75.1138112749
125,75.1103436079
126,75.1155717791
127,75.1150230337
128,75.1034337018
129,75.1181121841
130,75.1281522
131,75.1205355357
132,75.1140228046
133,75.1231841853
134,75.1145449687
135,75.1190067695
136,75.1145035062
137,75.0985014323
138,75.1015065451
139,75.1025167582
140,75.110638874
141,75.1040417135
142,75.1115613739
143,75.1135529255
144,75.1155689748
145,75.1156175918
146,75.1143395504
147,75.1113759551
148,75.1043673074
149,75.1122652942
150,75.112925148
151,75.1076381302
152,75.1058491886
153,75.1140638207
154,75.1279314471
155,75.1093509344
156,75.1181400434
157,75.1142357985
158,75.1191227918
159,75.1183273972
160,75.1120618081
161,75.1158644128
162,75.1138174685
163,75.1191393394
164,75.1026684871
165,75.1108243771
166,75.1117316433
167,75.1193910281
168,75.116595393
169,75.1142461015
170,75.1112923125
171,75.1163363046
172,75.1145821195
173,75.1076562448
174,75.1095011374
175,75.1259204396
176,75.1246519505
177,75.1182924708
178,75.1067213052
179,75.1189649475
180,75.1115611161
181,75.1112613279
182,75.1007409684
183,75.1091592189
184,75.1154395645
185,75.1183549967
186,77.7797770296
187,165.519817527
188,75.1112517716
189,75.1089541892
190,75.1210345386
191,75.126221068
192,75.112003127
193,75.1218933664
194,75.1068590155
195,75.1061417732
196,75.123261889
197,75.1180060155
198,75.1111447625
199,75.1114606794
200,75.1125800241
201,75.1071572355
202,75.1223481616
203,75.1212288511
204,75.1203254636
205,75.1106420523
206,75.1247307253
207,75.1081667058
208,75.1075120353
209,75.1209005537
210,75.1179736779
211,75.1285721304
212,72.4690897417
213,77.7815619269
214,66.6079901155
215,77.8809115935
216,74.64876329
217,74.6703961501
218,66.5914811761
219,63.8902831238
220,63.8902823098
221,63.8902820547
222,63.8902818901
223,63.8902817601
224,66.589964557
225,63.890282298
226,63.8902820108
227,63.8902809606
228,66.5951805532
229,75.1188525578
230,75.1144487676
231,75.0790411953
232,63.8902816369
233,66.6432721907
234,69.3775020145
235,66.6242253798
236,63.8902823053
237,69.360125705
238,75.0957157354
239,75.1011647818
240,75.0473651569
241,75.0559571443
242,72.3946473316
243,75.1153694099
244,75.1021869522
245,75.1277823714
246,75.1171613471
247,75.1120030552
248,69.2781355739
249,83.4591370831
250,83.4520567058
251,83.4549155353
252,83.3749973456
253,83.4523925233
254,83.3393642896
255,83.245935163
256,83.3541001124
257,80.7480913341
258,83.1140665446
259,80.7021458872
260,83.0705614225
261,80.5728761183
262,83.5179114966
263,83.4443908668
264,83.0172025119
265,83.1527276907
266,80.778673124
267,80.6080365164
268,80.6764406983
269,80.768215457
270,80.5744412455
271,83.3023677598
272,80.7564840076
273,83.3751058647
274,83.4225585691
275,80.7105945678
276,83.3980150105
277,80.6726818485
278,80.485439761
279,80.6568848462
280,82.8873849862
281,80.6560412171
282,80.6899284564
283,80.5788440768
284,80.7020595771
285,80.7168431031
286,80.752761114
287,80.7724402389
288,82.8876450535
289,80.6940372892
290,80.7498362468
291,80.7513547756
292,80.6854073463
293,80.7669550193
294,80.5432410865
295,80.7161178208
296,83.3064465273
297,83.3022728236
298,80.4078847877
299,80.7267479176
300,83.3136109501
301,80.7271463986
302,80.6174749246
303,80.7877463979
304,80.6928650588
305,80.3884379835
306,80.761166693
307,80.6576660065
308,82.9033708669
309,80.6472001538
310,80.7622804222
311,80.7610945636
312,80.6565976018
313,80.7739607455
314,80.7672020906
315,80.6744382417
316,80.6362515936
317,80.4910664431
318,80.5654399068
319,80.7884674942
320,80.4819346403
321,80.7146257272
322,80.7643625534
323,80.6133011655
324,80.7716696433
325,80.6864797267
326,80.5653111163
327,80.7099989751
328,80.8148958029
329,80.6562333626
330,80.3947969089
331,80.7192366869
332,80.5546927971
333,80.5009300779
334,80.6986162922
335,80.7129318929
336,80.7838071263
337,80.6650587243
338,83.2677688151
339,77.8807442513
340,80.4979330766
341,80.5609153602
342,80.6093010036
343,80.531428526
344,80.5094580282
345,80.7279547873
346,80.5170155304
347,80.4976111898
348,80.6056023211
349,80.4320473169
350,80.4801644868
351,85.8285861772
352,82.5702286309
353,108.295372808
354,85.2206499621
355,103.837019895
356,71.1062881092
357,89.3130090516
358,113.448280545
359,85.2735716419
360,80.0286041897
361,85.0863913269
362,101.147301262
363,79.6792377172
364,85.8780734081
365,76.7421237615
366,86.5687973714
367,79.040023576
368,73.7628720603
369,90.4886218754
370,74.1924294111
371,64.9971023825
372,77.469811963
373,91.2527548292
374,89.5459436301
375,103.130307859
376,95.2653074174
377,98.3358535395
378,208.34575642
379,97.1192432654
380,96.8865332793
381,94.545278473
382,87.8733133916
383,100.451325418
384,98.1183343219
385,88.2457773625
386,95.7508703449
387,177.853173739
388,87.1098639035
389,95.7068874406
390,89.7863857031
391,95.6808901886
392,64.9882147011
393,56.8487393119
394,64.9826379106
395,67.3532598074
396,92.0921054216
397,92.5346968193
398,198.968424942
399,79.1946041424
400,86.5841707351
401,92.4924933532
402,70.1546844383
403,70.4268968207
404,89.8085104296
405,84.3884914038
406,83.3500714588
407,83.2942163717
408,80.7261045139
409,83.3010787935
410,83.458972402
411,83.3948948927
412,179.759524822
413,173.102660591
414,184.819282639
415,171.670619668
416,70.4306351177
417,72.6762474672
418,141.642593998
419,169.581683914
420,70.4225405345
421,73.6081047556
422,68.309728311
423,171.310733267
424,179.133585359
425,173.614407983
426,183.0040412
427,178.942601146
428,173.249939936
429,166.078273217
430,169.180694486
431,181.461372286
432,159.564393648
433,175.677350572
434,182.480255905
435,158.506044035
436,176.943293098
437,177.607658012
438,92.3671048244
439,92.5988850017
440,73.1317145683
441,75.9344901303
442,70.7874958403
443,74.1704458253
444,82.6417180047
445,83.1215485858
446,83.1617866105
447,80.267581511
448,79.924091269
449,85.0722821952
450,79.9046376331
451,83.2048188798
452,79.8424723179
453,73.374901049
454,70.96854105
455,75.6090393228
456,72.1567392137
457,81.9899029519
458,63.3891854303
459,86.6137069591
460,77.5652941482
461,77.3892680633
462,74.5388073641
463,71.6973747359
464,83.1534766986
465,83.3904142255
466,82.8559222748
467,80.7785046979
468,82.8800903153
469,85.1208679803
470,89.0322800469
471,78.095131843
472,76.4583749446
473,80.2925889713
474,73.8026252951
475,82.2569764529
476,87.7338907887
477,75.8710850915
478,76.5402602374
479,76.391082239
480,80.0462939705
481,65.6273520163
482,69.8281256334
483,70.2915129252
484,68.7608742588
485,77.729331219
486,86.2382114574
487,94.698332914
488,85.8862102405
489,72.952672635
490,68.4611072613
491,73.9119618577
492,66.9849827043
493,80.9953022404
494,67.3018617899
495,101.690658898
496,97.3286357448
497,93.3797749753
498,99.3558394708
499,102.207347211
500,101.543499434
501,122.367436462
502,132.927159934
503,70.7442526878
504,74.6414622053
505,77.3660320354
506,74.1266471452
507,74.4880995842
508,71.8534365
509,72.0002155178
510,72.0031714748
511,72.0101238808
512,71.9219060493
513,74.6379615996
514,74.6459817425
515,74.6352216424
516,71.9881424113
517,72.0065494112
518,71.9719581277
519,74.6408851698
520,74.6341360512
